,CountryName,Report
34,Nigeria,"There were several reports the government or its agents committed arbitrary and unlawful killings. The national police, army, and other security services used lethal and excessive force to disperse protesters and apprehend criminals and suspects and committed other extrajudicial killings. Authorities generally did not hold police, military, or other security force personnel accountable for the use of excessive or deadly force or for the deaths of persons in custody. State and federal panels of inquiry investigating suspicious deaths generally did not make their findings public. In August 2017 the acting president convened a civilian-led presidential investigative panel to review compliance of the armed forces with human rights obligations and rules of engagement, and the panel submitted its findings in February. As of November no portions of the report had been made public. As of September there were no reports of the federal government further investigating or holding individuals accountable for the 2015 killing and subsequent mass burial of members of the Shia group Islamic Movement of Nigeria (IMN) and other civilians by Nigerian Army (NA) forces in Zaria, Kaduna State. In 2016 the government of Kaduna made public the Kaduna State judicial commission’s nonbinding report, which found the NA used “excessive and disproportionate” force during the 2015 altercations in which 348 IMN members and one soldier died. The commission recommended the federal government conduct an independent investigation and prosecute anyone found to have acted unlawfully. It also called for the proscription of the IMN and the monitoring of its members and their activities. In 2016 the government of Kaduna State published a white paper that included acceptance of the commission’s recommendation to investigate and prosecute allegations of excessive and disproportionate use of force by the NA. As of September, however, there was no indication that authorities had held any members of the NA accountable for the events in Zaria. It also accepted the recommendation to hold IMN leader Sheikh Ibrahim Zakzaky responsible for all illegal acts committed by IMN members during the altercations and in the preceding 30 years. In 2016 a federal court declared the continued detention without charge of Zakzaky and his wife illegal and unconstitutional. The court ordered their release by January 2017. The federal government did not comply with this order, and Zakzaky, his spouse, and other IMN members remained in detention. In April the Kaduna State government charged Zakzaky in state court with multiple felonies stemming from the death of the soldier at Zaria. The charges include culpable homicide, which can carry the death penalty. As of December the case was pending. In July a Kaduna High Court dismissed charges of aiding and abetting culpable homicide against more than 80 IMN members. As of September the Kaduna State government had appealed the ruling. Approximately 100 additional IMN members remained in detention. In October security forces killed 45 IMN members that were participating in processions and protests, according to Amnesty International (AI) (see section 2.b.). In January AI reported that the Nigerian Air Force used excessive force in responding to intercommunal violence in December 2017 in Numan local government area (LGA) in Adamawa State. According to the report, hundreds of herdsmen attacked eight villages in Adamawa in response to a massacre by farming communities of up to 51 herders, mostly children, in Kikan village the previous month. The Nigerian Air Force said it responded at the request of relevant security agencies for show of force flights to disperse the “hoodlums” engaged in ransacking and burning villages, and subsequently aimed to shoot in front of crowds to deter them from attacking Numan. AI reported that the Air Force response resulted in a fire and destruction in the town, and that Air Force rockets and bullets hit civilian buildings directly and resulted in multiple civilian deaths. The report also stated it was not possible to establish conclusively how much of the death and destruction was attributable to the Air Force’s actions and how much to the concurrent attack by herdsmen. The Air Force denied the claims in a statement but reportedly ordered an investigation. As of September it was unclear if the investigation had been concluded. In January 2017 the air force mistakenly bombed an informal internally displaced persons (IDP) settlement in Rann, Borno State, which resulted in the killing and injuring of more than 100 civilians and humanitarian workers. Army personnel also were injured. The government and military leaders publicly assumed responsibility for the strike and launched an investigation. The air force conducted its own internal investigation, but as of December the government had not made public its findings. No air force or army personnel were known to have been held accountable for their roles in the event. There were reports of arbitrary and unlawful killings related to internal conflicts in the Northeast and other areas (see section 1.g.)."
35,Rwanda,"There were numerous reports the government committed arbitrary or unlawful killings. For example, according to media reports, on April 13, Kigali attorney Donat Mutunzi disappeared after leaving for work. His family made repeated inquiries of police but was unable to confirm his arrest until April 18. At that time a police officer reportedly told them that Mutunzi was suspected of having defamed President Kagame by circulating false information on the internet. On April 22, prosecutors told an attorney and friend of the Mutunzi family that Mutunzi had been accused of rape. On April 23, police reported Mutunzi had committed suicide by hanging himself in his cell. An examination of the body revealed severe wounds on the face and temples. Mutunzi’s family members told human rights advocates they believed Mutunzi had been beaten and strangled while in custody. As of September 14, the government had not completed its investigation into 2017 Human Rights Watch (HRW) allegations that police or other security forces had killed 37 individuals between 2016 and 2017 for a variety of petty crimes, including theft of bananas, fishing with illegal nets, and unlawful border crossings. In 2017 Minister of Justice Johnston Busingye publicly called the HRW report “fake news.”"
36,Sao Tome and Principe,"There was a report the government or its agents committed arbitrary or unlawful killings. On October 4, a man arrested by police was beaten to death at the police station in Trindade. The police officers involved were arrested and charged with homicide and were awaiting trial as of October."
37,Senegal,"There was at least one report that the government or its agents committed arbitrary or unlawful killings. On May 15, a gendarmerie (paramilitary) unit leader shot and killed Fallou Sene, a second-year university student, during a clash between students and security forces at Gaston Berger University in Saint-Louis. Authorities opened an investigation into the killing, which remained pending; no arrest had been made by year’s end."
38,Seychelles,There were no reports that the government or its agents committed arbitrary or unlawful killings.
39,Sierra Leone,"There were several reports that the government or its agents committed arbitrary or unlawful killings. There were seven reported killings related to the 2018 elections. Civil society organizations and the nongovernmental organization (NGO) Institute for Governance Reform (IGR) reported five election-related killings in Freetown, including of four opposition supporters and one journalist. In Kailahun District, IGR reported the shooting and killing of two persons on the orders of the outgoing Minister of Local Government, Maya Moiwo Kaikai. In July the High Court in Kenema granted bail to former opposition supporters, including Joseph Charles and Mohamed Fornie, in relation to the killing of Mohamed Karim in 2016."
40,Somalia,"Government security forces and allied militias, other persons wearing uniforms, regional security forces, al-Shabaab, and unknown assailants committed arbitrary or unlawful killings. Government and regional authorities executed persons without due process. Armed clashes and attacks killed civilians and aid workers (see section 1.g.). Impunity remained the norm. Military courts continued to try cases not legally within their jurisdiction and in proceedings that fell short of international standards. Federal and regional authorities sometimes executed those sentenced to death within days of the court’s verdict, particularly in cases where defendants directly confessed their membership in al-Shabaab before the courts or in televised videos. In other cases, the courts offered defendants up to 30 days to appeal death penalty judgements. National figures on executions were unreliable, but the UN Mission to Somalia (UNSOM) tracked 15 executions across the country between January and October. Human rights organizations questioned the military courts’ ability to enforce appropriate safeguards with regard to due process, the right to seek pardon, or commutation of sentence as well as to implement sentences in a manner that meets international standards. Fighting among clans and subclans, particularly over water and land resources, occurred throughout the year, particularly in the regions of Hiiraan, Galmudug, Lower and Middle Shabelle, and Sool (see section 6). Revenge killings occurred. Al-Shabaab continued to kill civilians (see sections 1.g. and 6). The killings included al-Shabaab’s execution of persons it accused of spying for and collaborating with the FGS, Somali national forces, affiliated militias, and western security forces. Al-Shabaab’s competitor Islamic State-Somalia targeted businesses leaders for extortion in urban in an attempt to leave the remote mountains in Puntland where it has operated the last three years. It then targets those businesses with violence when they do not pay up. Unidentified attackers also killed persons with impunity, including members of parliament, judges, National Intelligence and Security Agency (NISA) agents, Somali National Army (SNA) soldiers, and other government officials, as well as journalists, traditional elders, and international organization workers."
41,South Africa,"There were reports that the government or its agents committed arbitrary or unlawful killings. Police use of lethal and excessive force, including torture, resulted in numerous deaths and injuries, according to the Independent Police Investigative Directorate (IPID), Amnesty International, and other nongovernmental organizations (NGOs). In August, three police officers in KwaZulu-Natal Province were arrested for torturing three men who had been detained for questioning regarding a homicide. One of the three detained men died from injuries inflicted by the officers. At year’s end a task force was investigating the case. According to the 2017-18 IPID annual report, 436 persons died in police custody or due to police action during the 12 months from April 2017 to April 2018, an 11-percent increase from the prior 12 months. IPID recommended prosecution in 112 of the instances. A death resulting from police action was defined as a death that occurred while a police officer attempted to make an arrest, prevent an escape, or engage in self-defense; it also covered collisions involving one or more South African Police Service (SAPS) or municipal police vehicles as well as mass actions where police officers were present. IPID did not track deaths resulting from torture, which it classified as homicide. Watchdog groups noted deaths in custody often resulted from physical abuse combined with a lack of medical treatment or neglect (see section 1.c.). Officials at the highest levels of government recognized the prevalence of political killings needed to be addressed. In May the president categorized KwaZulu-Natal’s political killings as a “matter of national concern,” called for the violence to cease, and ordered a high-level inquiry into the problem. Although interparty killings took place, media and NGOs claimed the vast majority were a result of intra-ANC disputes at the local level. Killings often occurred in the context of a competition for resources or positions, or whistleblowers targeted for uncovering corruption. In September the Moerane Commission, which KwaZulu-Natal Province Premier Willies Mchunu established in 2016 to investigate political killings, published its report, which identified ANC infighting, readily available hitmen, weak leadership, and ineffective and complicit law enforcement agencies as key contributing factors to the high rate of killings. Despite government attention to the problem, political killings in the country, and specifically in KwaZulu-Natal Province, continued. There were numerous reported killings similar to the following example. In May a prominent ANC activist and an Inkatha Freedom Party municipal councilor were shot and killed on the same day."
42,South Sudan,"The United Nations, international ceasefire monitors, human rights organizations, and media reported the government or its agents committed numerous arbitrary or unlawful killings. Security forces, opposition forces, armed militias affiliated with the government and the opposition, and ethnically based groups were also responsible for widespread extrajudicial killings in conflict zones (see section 1.g.). There were numerous reported unlawful killings similar to the following example: According to the Ceasefire and Transitional Security Arrangements Monitoring Mechanism (CTSAMM), on February 26, SPLA forces attacked the town of Modit in Northern Jonglei. According to eyewitness reports, the soldiers looted and burned numerous properties, including those belonging to an international NGO. Reportedly, the SPLA targeted a tukul (a South Sudanese hut), in which a number of schoolchildren had sought refuge. According to witnesses, SPLA soldiers set it alight with the children inside and stood at the door of the tukul to ensure the children were eventually burnt to death."
43,Sudan,"There were numerous reports that the government or its agents committed arbitrary or unlawful killings. Security forces used lethal excessive force against civilians, demonstrators, and detainees, including in conflict zones (see section 1.g.). On January 6, in El Geneina, West Darfur, Rapid Support Forces (RSF) used live ammunition against a large group of high school and university students protesting poor economic conditions in front of the regional governor’s office. Several students were severely wounded and 19-year-old student Alzubair Ahmed Alsukairan died from a gunshot wound to the chest. The governor promised the police would investigate the student’s death. As of year’s end, no information on the investigation had been made public. In response to protests that broke out on December 19 and spread throughout the country, security forces fired live ammunition in Gadaref city, Atbara city, and the Al haj Youssef neighborhood in Khartoum, resulting in credible reports of at least 30 deaths (see sections 1.c., 1.d., and 2.a.). There were multiple reports during the year of deaths resulting from torture, including of a student who disappeared in January when participating in protests (see section 1.b.)."
44,Tanzania,"There were some reports that the government or its agents committed arbitrary or unlawful killings. For example, on February 17, police attempting to disperse an opposition gathering on the eve of by-elections unintentionally shot and killed Akwilina Akwiline, who was aboard a passing commuter bus. Six police officers were arrested and later released with no charges filed. In the same month Daniel John, a member of the opposition CHADEMA party, who had been campaigning, was abducted and beaten to death by unknown assailants. Fellow party supporter Reginald Mallya was also abducted and found unconscious with a head wound and a broken arm. Godfrey Luena, a CHADEMA party official, was also killed in February. According to a press release by the Tanzania Human Rights Defenders Coalition, Luena had been working on the protection of land rights in the Morogoro Region when he was hacked to death with machetes by unknown assailants. The deaths of John and Luena came a few months after the September 2017 attempted killing of Tundu Lissu, a well-known CHADEMA politician and then president of the Tanganyika Law Society. Lissu was shot multiple times but survived. No charges were made in connection with these crimes. The leaders of CHADEMA and the Alliance for Change and Transparency (ACT-Wazalendo) opposition parties alleged these killings were politically motivated."
45,Togo,"There was one report that the government or its agents committed arbitrary or unlawful killings. On May 15, media reported 10 prison guards beat a detainee to death in the Kpalime Civil Prison. The government detained the guards. One was released and nine remained in detention in Lome but had not been charged by year’s end."
46,Uganda,"There were several reports the government or its agents committed arbitrary or unlawful killings, including due to torture. On August 13, the presidential guard Special Forces Command (SFC) shot and killed Member of Parliament (MP) Robert Kyagulanyi’s (alias Bobi Wine) driver, Yasin Kawuma, while he was seated in Kyagulanyi’s car (see section 1.e.). According to local media, between February 2017 and September, the Uganda Peoples Defense Forces (UPDF) killed at least nine men whom it accused of illegal fishing. On January 22, local media reported that the UPDF’s Marine Patrol Unit beat, shot, and drowned unarmed civilians it suspected of illegal fishing practices. Fishing communities told local media that UPDF soldiers tied weights to the legs of the fishermen and threw them into the lake. The UPDF’s head of marine operations James Nuwagaba told local media that UPDF soldiers only used force to defend themselves against those fishermen who fled imminent arrest and used their oars to attack soldiers. In an April 14 statement, the president stated, “Although the UPDF personnel had been accused of some excesses, such as beating people, the lake had been saved. Those who spend time blaming the army for some mistakes should know that the first mistake was bad fishing.” Local civil society organizations (CSOs) and local media reported that on March 25, UPDF personnel shot and killed unarmed civilian Python Okello, a resident of Apaa village in Adjumani district. The UPDF and the Uganda Wildlife Authority were forcefully evicting local residents from a contested village (see section 6). On May 16, the UPDF spokesperson denied the killing and insisted that the eviction was peaceful. The Uganda Human Rights Commission (UHRC) noted in its annual report on June 8 that the Uganda Police Force (UPF) at Runga Police post in Kibiro parish, Kigorobya subcounty, Hoima district, had in 2017 tortured to death a suspect accused of theft. The UHRC was investigating the incident at year’s end."
47,Zambia,"There were numerous reports of arbitrary and unlawful killings by police during the year. On October 5, police used excessive force in response to protests at the University of Zambia over delayed meal allowances; a police raid on a dormitory that housed some protesters resulted in the death of a fourth year student, Vespers Shimuzhila, who died of asphyxiation after police fired teargas into the building, and her room caught fire. Another student suffered serious injuries leaping from the third-floor room while 20 others were treated for minor injuries. The government, through the attorney general, accepted responsibility for the killing in March 2017 of an Air Force officer, Mark Choongwa, by police officers while in police custody. Choongwa’s family sued the state and six police officers for damages. In March, Attorney General Likando Kalaluka informed the High Court the government had conceded and accepted liabilities. Four persons, including two police officers, were subsequently arrested and charged with manslaughter for Choongwa’s death; the trial was ongoing at year’s end. Following this case, the government subsequently resolved to stop recruiting police reservists who do not meet minimum high school qualification, the Ministry of Home Affairs reported."
48,Zimbabwe,"There were two reported incidents of the government or its agents committing arbitrary or unlawful killings. On August 1, the military killed six unarmed protestors when it responded to an opposition-led election related demonstration in Harare’s central business district (CBD). A seventh individual died from injuries related to the protests. The Zimbabwe Republic Police (ZRP) killed two civilians on February 22 while enforcing a ban on vendors and unlicensed taxi drivers in the CBD. Security-sector forces participated in political violence in the post-election period during the month of August. Security-sector impunity for politically motivated abuses remained a problem. Impunity for past politically motivated violence also remained a problem. Investigations continued of prior years’ cases of violence resulting in death committed by security forces and ZANU-PF supporters, but by year’s end there were no arrests or charges in these cases. Unwillingness to acknowledge past atrocities or seek justice for victims continued to affect relations between the Shona and Ndebele ethnic groups negatively."
