,Class,y_test,y_pred
1067,TORT,0.0,0.0
1614,TORT,2.0,2.0
989,TORT,1.0,1.0
498,TORT,2.0,2.0
280,TORT,1.0,2.0
217,TORT,1.0,2.0
857,TORT,2.0,2.0
1628,TORT,2.0,2.0
2020,TORT,1.0,1.0
432,TORT,0.0,0.0
304,TORT,0.0,1.0
1636,TORT,0.0,0.0
871,TORT,2.0,2.0
40,TORT,0.0,0.0
1008,TORT,0.0,0.0
1086,TORT,1.0,1.0
1520,TORT,1.0,1.0
160,TORT,1.0,1.0
1045,TORT,1.0,1.0
207,TORT,2.0,1.0
1998,TORT,0.0,0.0
1284,TORT,0.0,0.0
412,TORT,1.0,1.0
832,TORT,0.0,0.0
61,TORT,2.0,2.0
397,TORT,0.0,0.0
1811,TORT,1.0,1.0
1768,TORT,0.0,0.0
1507,TORT,0.0,0.0
1667,TORT,1.0,1.0
403,TORT,0.0,0.0
1819,TORT,1.0,1.0
377,TORT,0.0,0.0
2002,TORT,0.0,0.0
1271,TORT,1.0,1.0
522,TORT,1.0,1.0
1647,TORT,0.0,0.0
1832,TORT,0.0,0.0
1580,TORT,1.0,1.0
2036,TORT,1.0,1.0
443,TORT,2.0,1.0
1891,TORT,2.0,0.0
98,TORT,0.0,0.0
77,TORT,1.0,1.0
799,TORT,0.0,0.0
1764,TORT,2.0,2.0
508,TORT,1.0,1.0
313,TORT,0.0,0.0
93,TORT,1.0,1.0
434,TORT,2.0,1.0
1719,TORT,1.0,1.0
270,TORT,0.0,1.0
89,TORT,2.0,2.0
206,TORT,1.0,0.0
1856,TORT,1.0,1.0
736,TORT,1.0,1.0
1128,TORT,0.0,0.0
550,TORT,0.0,0.0
1760,TORT,2.0,2.0
1074,TORT,0.0,0.0
1147,TORT,1.0,1.0
572,TORT,0.0,0.0
1104,TORT,1.0,1.0
629,TORT,1.0,1.0
481,TORT,1.0,1.0
54,TORT,0.0,0.0
996,TORT,1.0,0.0
685,TORT,2.0,2.0
2064,TORT,0.0,0.0
1501,TORT,0.0,0.0
567,TORT,0.0,0.0
282,TORT,2.0,2.0
96,TORT,2.0,2.0
1988,TORT,1.0,1.0
1752,TORT,0.0,0.0
124,TORT,1.0,1.0
1250,TORT,1.0,1.0
477,TORT,0.0,1.0
1279,TORT,1.0,1.0
970,TORT,0.0,0.0
1889,TORT,2.0,1.0
38,TORT,0.0,1.0
1648,TORT,0.0,0.0
1521,TORT,0.0,0.0
674,TORT,0.0,0.0
853,TORT,1.0,1.0
573,TORT,0.0,0.0
1971,TORT,2.0,2.0
1635,TORT,0.0,0.0
1652,TORT,1.0,1.0
386,TORT,0.0,0.0
1658,TORT,1.0,1.0
53,TORT,1.0,2.0
1694,TORT,0.0,0.0
212,TORT,0.0,0.0
1072,TORT,1.0,1.0
1062,TORT,2.0,2.0
1996,TORT,1.0,0.0
654,TORT,0.0,1.0
949,TORT,2.0,1.0
1904,TORT,1.0,1.0
1170,TORT,1.0,0.0
680,TORT,0.0,1.0
901,TORT,1.0,1.0
368,TORT,1.0,1.0
1927,TORT,1.0,1.0
233,TORT,1.0,0.0
1235,TORT,1.0,1.0
1910,TORT,1.0,1.0
384,TORT,0.0,0.0
1843,TORT,0.0,0.0
1456,TORT,2.0,2.0
1936,TORT,0.0,0.0
1710,TORT,1.0,1.0
1451,TORT,1.0,1.0
1685,TORT,1.0,1.0
1999,TORT,1.0,1.0
1774,TORT,1.0,1.0
1696,TORT,1.0,1.0
158,TORT,1.0,0.0
387,TORT,1.0,1.0
1224,TORT,2.0,1.0
1596,TORT,0.0,1.0
1053,TORT,1.0,2.0
464,TORT,1.0,2.0
841,TORT,1.0,1.0
951,TORT,1.0,1.0
242,TORT,0.0,0.0
1883,TORT,0.0,0.0
1898,TORT,1.0,1.0
1796,TORT,2.0,2.0
1820,TORT,0.0,0.0
337,TORT,0.0,0.0
1817,TORT,0.0,0.0
87,TORT,2.0,2.0
1504,TORT,0.0,0.0
727,TORT,0.0,0.0
536,TORT,0.0,0.0
1467,TORT,0.0,0.0
1498,TORT,0.0,0.0
701,TORT,0.0,0.0
584,TORT,0.0,1.0
1512,TORT,1.0,1.0
1516,TORT,0.0,0.0
754,TORT,0.0,0.0
838,TORT,1.0,1.0
1720,TORT,0.0,0.0
1617,TORT,0.0,1.0
1664,TORT,0.0,0.0
1860,TORT,1.0,1.0
1633,TORT,1.0,1.0
521,TORT,1.0,1.0
1964,TORT,1.0,1.0
1415,TORT,0.0,0.0
699,TORT,0.0,0.0
958,TORT,0.0,0.0
331,TORT,0.0,0.0
1004,TORT,0.0,0.0
305,TORT,0.0,0.0
1394,TORT,1.0,0.0
1734,TORT,1.0,1.0
436,TORT,0.0,0.0
1173,TORT,0.0,0.0
1125,TORT,1.0,1.0
1460,TORT,2.0,2.0
1509,TORT,0.0,0.0
1888,TORT,0.0,0.0
1880,TORT,0.0,0.0
91,TORT,0.0,1.0
548,TORT,1.0,0.0
328,TORT,1.0,1.0
64,TORT,0.0,0.0
973,TORT,0.0,0.0
1977,TORT,2.0,2.0
1733,TORT,0.0,0.0
413,TORT,1.0,1.0
1446,TORT,0.0,0.0
1535,TORT,0.0,0.0
449,TORT,0.0,0.0
1108,TORT,0.0,0.0
991,TORT,0.0,0.0
943,TORT,1.0,1.0
1909,TORT,1.0,0.0
1991,TORT,1.0,1.0
1324,TORT,1.0,1.0
1186,TORT,2.0,2.0
1016,TORT,0.0,0.0
2047,TORT,0.0,0.0
1257,TORT,2.0,2.0
993,TORT,2.0,1.0
240,TORT,0.0,0.0
1849,TORT,1.0,1.0
1500,TORT,0.0,0.0
884,TORT,0.0,1.0
1444,TORT,2.0,2.0
1201,TORT,0.0,0.0
499,TORT,1.0,0.0
179,TORT,1.0,0.0
1141,TORT,0.0,0.0
805,TORT,0.0,1.0
1944,TORT,2.0,2.0
421,TORT,1.0,0.0
678,TORT,1.0,1.0
1552,TORT,0.0,0.0
1077,TORT,1.0,1.0
1068,TORT,2.0,2.0
1708,TORT,1.0,1.0
342,TORT,0.0,1.0
232,TORT,1.0,0.0
979,TORT,1.0,0.0
310,TORT,1.0,2.0
566,TORT,0.0,0.0
1770,TORT,1.0,1.0
1078,TORT,1.0,1.0
1497,TORT,0.0,0.0
1941,TORT,0.0,0.0
1283,TORT,0.0,0.0
1728,TORT,0.0,0.0
1134,TORT,0.0,0.0
1270,TORT,2.0,1.0
1985,TORT,2.0,1.0
1540,TORT,1.0,1.0
316,TORT,1.0,1.0
661,TORT,2.0,2.0
1408,TORT,2.0,1.0
627,TORT,1.0,1.0
569,TORT,0.0,0.0
463,TORT,0.0,0.0
510,TORT,1.0,1.0
1545,TORT,0.0,0.0
806,TORT,1.0,1.0
818,TORT,1.0,1.0
1443,TORT,1.0,1.0
491,TORT,2.0,2.0
916,TORT,1.0,1.0
2057,TORT,1.0,1.0
977,TORT,1.0,1.0
1231,TORT,1.0,1.0
2071,TORT,1.0,2.0
693,TORT,1.0,1.0
230,TORT,1.0,0.0
214,TORT,0.0,0.0
371,TORT,1.0,2.0
768,TORT,0.0,0.0
624,TORT,0.0,0.0
381,TORT,0.0,0.0
1950,TORT,1.0,1.0
1986,TORT,0.0,0.0
1737,TORT,0.0,0.0
895,TORT,0.0,0.0
2003,TORT,1.0,1.0
1650,TORT,0.0,0.0
1322,TORT,0.0,0.0
1671,TORT,1.0,1.0
505,TORT,0.0,0.0
453,TORT,1.0,1.0
1050,TORT,2.0,2.0
710,TORT,2.0,0.0
1866,TORT,0.0,0.0
1080,TORT,2.0,1.0
1993,TORT,0.0,0.0
219,TORT,1.0,1.0
1878,TORT,1.0,1.0
830,TORT,1.0,1.0
1476,TORT,0.0,0.0
826,TORT,2.0,2.0
415,TORT,0.0,0.0
1172,TORT,1.0,1.0
1126,TORT,0.0,0.0
1252,TORT,0.0,0.0
1118,TORT,1.0,1.0
1871,TORT,2.0,2.0
1963,TORT,0.0,1.0
1180,TORT,1.0,0.0
248,TORT,0.0,0.0
19,TORT,0.0,1.0
336,TORT,1.0,1.0
1609,TORT,0.0,1.0
1057,TORT,1.0,1.0
1499,TORT,2.0,2.0
613,TORT,0.0,1.0
1718,TORT,1.0,1.0
1475,TORT,0.0,0.0
1169,TORT,1.0,1.0
712,TORT,1.0,1.0
1677,TORT,1.0,1.0
551,TORT,0.0,0.0
1379,TORT,1.0,1.0
249,TORT,1.0,1.0
1863,TORT,1.0,1.0
1780,TORT,1.0,1.0
1292,TORT,1.0,2.0
833,TORT,0.0,0.0
1217,TORT,2.0,2.0
636,TORT,1.0,0.0
739,TORT,0.0,0.0
1387,TORT,1.0,2.0
893,TORT,1.0,1.0
1343,TORT,0.0,2.0
2046,TORT,1.0,1.0
1948,TORT,2.0,2.0
1806,TORT,0.0,0.0
391,TORT,1.0,0.0
73,TORT,0.0,1.0
740,TORT,1.0,1.0
631,TORT,0.0,0.0
1381,TORT,0.0,0.0
1334,TORT,0.0,1.0
879,TORT,1.0,1.0
51,TORT,0.0,0.0
125,TORT,0.0,0.0
350,TORT,0.0,0.0
1486,TORT,0.0,0.0
435,TORT,1.0,2.0
127,TORT,0.0,0.0
1329,TORT,1.0,1.0
948,TORT,0.0,0.0
1769,TORT,1.0,1.0
135,TORT,0.0,0.0
860,TORT,1.0,2.0
588,TORT,1.0,1.0
2051,TORT,0.0,0.0
1649,TORT,0.0,0.0
1959,TORT,2.0,1.0
1835,TORT,0.0,0.0
1039,TORT,0.0,0.0
1367,TORT,0.0,0.0
509,TORT,0.0,0.0
2016,TORT,2.0,2.0
1384,TORT,1.0,1.0
164,TORT,1.0,0.0
660,TORT,1.0,1.0
1625,TORT,1.0,1.0
92,TORT,1.0,2.0
2063,TORT,2.0,2.0
1739,TORT,1.0,1.0
1266,TORT,1.0,0.0
2045,TORT,1.0,0.0
568,TORT,2.0,1.0
2007,TORT,0.0,0.0
597,TORT,0.0,0.0
726,TORT,2.0,1.0
1879,TORT,2.0,2.0
2060,TORT,1.0,1.0
794,TORT,1.0,1.0
1562,TORT,0.0,0.0
1144,TORT,0.0,0.0
1138,TORT,0.0,0.0
488,TORT,0.0,1.0
1191,TORT,0.0,0.0
1228,TORT,1.0,0.0
390,TORT,2.0,1.0
288,TORT,2.0,2.0
1782,TORT,0.0,0.0
1906,TORT,1.0,0.0
1615,TORT,1.0,1.0
1701,TORT,0.0,0.0
1958,TORT,0.0,0.0
188,TORT,0.0,1.0
1825,TORT,0.0,0.0
2011,TORT,1.0,1.0
1308,TORT,1.0,1.0
1420,TORT,0.0,0.0
882,TORT,2.0,2.0
1847,TORT,1.0,1.0
1241,TORT,2.0,2.0
1484,TORT,0.0,1.0
1247,TORT,1.0,0.0
995,TORT,1.0,1.0
364,TORT,1.0,0.0
1690,TORT,0.0,0.0
1325,TORT,1.0,1.0
1342,TORT,1.0,1.0
1722,TORT,2.0,2.0
1672,TORT,1.0,1.0
1827,TORT,0.0,0.0
1315,TORT,1.0,1.0
1803,TORT,1.0,0.0
1759,TORT,1.0,2.0
1489,TORT,2.0,2.0
1102,TORT,0.0,0.0
820,TORT,0.0,0.0
1103,TORT,0.0,0.0
847,TORT,0.0,0.0
1781,TORT,2.0,2.0
1306,TORT,0.0,0.0
581,TORT,0.0,0.0
1406,TORT,0.0,1.0
354,TORT,0.0,0.0
1923,TORT,0.0,0.0
992,OLD_EMPINX,1.0,3.0
302,OLD_EMPINX,9.0,9.0
207,OLD_EMPINX,7.0,8.0
864,OLD_EMPINX,9.0,9.0
64,OLD_EMPINX,9.0,8.0
530,OLD_EMPINX,9.0,7.0
947,OLD_EMPINX,8.0,8.0
87,OLD_EMPINX,10.0,10.0
660,OLD_EMPINX,9.0,7.0
658,OLD_EMPINX,6.0,6.0
645,OLD_EMPINX,6.0,5.0
1150,OLD_EMPINX,8.0,9.0
701,OLD_EMPINX,0.0,0.0
942,OLD_EMPINX,7.0,7.0
789,OLD_EMPINX,3.0,3.0
352,OLD_EMPINX,10.0,10.0
879,OLD_EMPINX,10.0,10.0
1051,OLD_EMPINX,9.0,10.0
1169,OLD_EMPINX,6.0,7.0
440,OLD_EMPINX,9.0,8.0
232,OLD_EMPINX,6.0,6.0
432,OLD_EMPINX,0.0,0.0
1144,OLD_EMPINX,9.0,9.0
390,OLD_EMPINX,6.0,7.0
1476,OLD_EMPINX,4.0,5.0
1127,OLD_EMPINX,9.0,9.0
387,OLD_EMPINX,8.0,8.0
96,OLD_EMPINX,9.0,10.0
1228,OLD_EMPINX,7.0,7.0
948,OLD_EMPINX,4.0,8.0
689,OLD_EMPINX,3.0,4.0
798,OLD_EMPINX,1.0,2.0
310,OLD_EMPINX,10.0,10.0
737,OLD_EMPINX,9.0,9.0
1209,OLD_EMPINX,0.0,0.0
1227,OLD_EMPINX,0.0,0.0
1231,OLD_EMPINX,9.0,9.0
1087,OLD_EMPINX,0.0,0.0
977,OLD_EMPINX,6.0,9.0
636,OLD_EMPINX,10.0,6.0
421,OLD_EMPINX,9.0,8.0
696,OLD_EMPINX,2.0,3.0
836,OLD_EMPINX,8.0,10.0
245,OLD_EMPINX,4.0,1.0
1090,OLD_EMPINX,1.0,3.0
1128,OLD_EMPINX,6.0,8.0
927,OLD_EMPINX,7.0,7.0
397,OLD_EMPINX,3.0,4.0
296,OLD_EMPINX,10.0,10.0
1500,OLD_EMPINX,6.0,6.0
1285,OLD_EMPINX,2.0,4.0
1322,OLD_EMPINX,7.0,8.0
98,OLD_EMPINX,7.0,5.0
1224,OLD_EMPINX,5.0,5.0
145,OLD_EMPINX,7.0,9.0
294,OLD_EMPINX,9.0,10.0
939,OLD_EMPINX,5.0,7.0
957,OLD_EMPINX,9.0,9.0
1223,OLD_EMPINX,6.0,5.0
900,OLD_EMPINX,6.0,8.0
51,OLD_EMPINX,0.0,0.0
960,OLD_EMPINX,7.0,6.0
61,OLD_EMPINX,10.0,10.0
667,OLD_EMPINX,5.0,4.0
248,OLD_EMPINX,0.0,0.0
1210,OLD_EMPINX,8.0,8.0
384,OLD_EMPINX,8.0,7.0
1382,OLD_EMPINX,5.0,5.0
734,OLD_EMPINX,8.0,10.0
717,OLD_EMPINX,9.0,8.0
986,OLD_EMPINX,3.0,3.0
1043,OLD_EMPINX,6.0,6.0
493,OLD_EMPINX,10.0,10.0
712,OLD_EMPINX,9.0,8.0
847,OLD_EMPINX,0.0,1.0
84,OLD_EMPINX,7.0,7.0
577,OLD_EMPINX,3.0,3.0
699,OLD_EMPINX,6.0,7.0
833,OLD_EMPINX,9.0,7.0
892,OLD_EMPINX,1.0,7.0
1149,OLD_EMPINX,10.0,10.0
40,OLD_EMPINX,7.0,6.0
679,OLD_EMPINX,10.0,10.0
1335,OLD_EMPINX,8.0,9.0
536,OLD_EMPINX,9.0,8.0
498,OLD_EMPINX,10.0,10.0
1518,OLD_EMPINX,8.0,8.0
127,OLD_EMPINX,9.0,9.0
462,OLD_EMPINX,3.0,3.0
341,OLD_EMPINX,9.0,8.0
393,OLD_EMPINX,3.0,3.0
521,OLD_EMPINX,0.0,0.0
1194,OLD_EMPINX,3.0,3.0
212,OLD_EMPINX,5.0,5.0
1499,OLD_EMPINX,3.0,2.0
1494,OLD_EMPINX,2.0,0.0
1355,OLD_EMPINX,7.0,7.0
1304,OLD_EMPINX,3.0,4.0
1262,OLD_EMPINX,10.0,10.0
1126,OLD_EMPINX,0.0,0.0
516,OLD_EMPINX,9.0,9.0
1481,OLD_EMPINX,0.0,0.0
1485,OLD_EMPINX,1.0,0.0
82,OLD_EMPINX,5.0,4.0
240,OLD_EMPINX,7.0,8.0
1225,OLD_EMPINX,7.0,7.0
1484,OLD_EMPINX,3.0,1.0
280,OLD_EMPINX,10.0,10.0
1451,OLD_EMPINX,9.0,9.0
1265,OLD_EMPINX,10.0,10.0
53,OLD_EMPINX,9.0,6.0
328,OLD_EMPINX,10.0,9.0
90,OLD_EMPINX,8.0,10.0
999,OLD_EMPINX,0.0,0.0
1319,OLD_EMPINX,0.0,0.0
857,OLD_EMPINX,10.0,10.0
548,OLD_EMPINX,3.0,3.0
944,OLD_EMPINX,5.0,7.0
916,OLD_EMPINX,1.0,2.0
665,OLD_EMPINX,10.0,10.0
38,OLD_EMPINX,9.0,9.0
1430,OLD_EMPINX,9.0,9.0
1266,OLD_EMPINX,4.0,4.0
1021,OLD_EMPINX,7.0,6.0
436,OLD_EMPINX,4.0,3.0
1297,OLD_EMPINX,2.0,0.0
1278,OLD_EMPINX,4.0,5.0
403,OLD_EMPINX,5.0,5.0
510,OLD_EMPINX,8.0,8.0
849,OLD_EMPINX,4.0,1.0
1263,OLD_EMPINX,10.0,10.0
872,OLD_EMPINX,8.0,8.0
840,OLD_EMPINX,10.0,10.0
1109,OLD_EMPINX,1.0,2.0
513,OLD_EMPINX,10.0,10.0
1244,OLD_EMPINX,9.0,9.0
1421,OLD_EMPINX,10.0,9.0
923,OLD_EMPINX,9.0,9.0
1038,OLD_EMPINX,9.0,9.0
963,OLD_EMPINX,2.0,1.0
763,OLD_EMPINX,6.0,6.0
1221,OLD_EMPINX,3.0,6.0
305,OLD_EMPINX,3.0,4.0
1340,OLD_EMPINX,7.0,7.0
1517,OLD_EMPINX,9.0,9.0
1515,OLD_EMPINX,7.0,7.0
354,OLD_EMPINX,7.0,7.0
1323,OLD_EMPINX,8.0,8.0
1409,OLD_EMPINX,9.0,8.0
477,OLD_EMPINX,9.0,10.0
826,OLD_EMPINX,7.0,9.0
870,OLD_EMPINX,9.0,9.0
515,OLD_EMPINX,8.0,7.0
76,OLD_EMPINX,4.0,4.0
304,OLD_EMPINX,5.0,6.0
748,OLD_EMPINX,0.0,0.0
27,OLD_EMPINX,10.0,9.0
135,OLD_EMPINX,8.0,8.0
445,OLD_EMPINX,8.0,8.0
884,OLD_EMPINX,10.0,9.0
739,OLD_EMPINX,4.0,1.0
1372,OLD_EMPINX,4.0,7.0
1184,OLD_EMPINX,3.0,4.0
1070,OLD_EMPINX,8.0,10.0
1252,OLD_EMPINX,4.0,3.0
1086,OLD_EMPINX,10.0,10.0
844,OLD_EMPINX,1.0,4.0
1399,OLD_EMPINX,9.0,9.0
1533,OLD_EMPINX,8.0,9.0
336,OLD_EMPINX,9.0,9.0
426,OLD_EMPINX,7.0,7.0
452,OLD_EMPINX,7.0,10.0
1313,OLD_EMPINX,6.0,7.0
102,OLD_EMPINX,10.0,10.0
682,OLD_EMPINX,6.0,6.0
1378,OLD_EMPINX,7.0,7.0
1448,OLD_EMPINX,5.0,5.0
1512,OLD_EMPINX,8.0,8.0
140,OLD_EMPINX,7.0,7.0
1534,OLD_EMPINX,9.0,8.0
882,OLD_EMPINX,10.0,10.0
1068,OLD_EMPINX,9.0,8.0
566,OLD_EMPINX,0.0,1.0
1072,OLD_EMPINX,10.0,10.0
1286,OLD_EMPINX,5.0,7.0
668,OLD_EMPINX,8.0,9.0
219,OLD_EMPINX,10.0,9.0
1408,OLD_EMPINX,10.0,10.0
858,OLD_EMPINX,10.0,10.0
1247,OLD_EMPINX,6.0,5.0
569,OLD_EMPINX,9.0,8.0
313,OLD_EMPINX,5.0,4.0
703,OLD_EMPINX,10.0,9.0
1174,OLD_EMPINX,9.0,8.0
433,OLD_EMPINX,0.0,0.0
1287,OLD_EMPINX,1.0,1.0
1532,OLD_EMPINX,7.0,5.0
1023,OLD_EMPINX,10.0,10.0
1075,OLD_EMPINX,10.0,10.0
694,OLD_EMPINX,9.0,9.0
564,OLD_EMPINX,3.0,0.0
391,OLD_EMPINX,6.0,4.0
449,OLD_EMPINX,10.0,8.0
1365,OLD_EMPINX,4.0,2.0
267,OLD_EMPINX,7.0,9.0
907,OLD_EMPINX,1.0,1.0
785,OLD_EMPINX,3.0,3.0
1336,OLD_EMPINX,10.0,10.0
459,OLD_EMPINX,9.0,8.0
73,OLD_EMPINX,0.0,0.0
821,OLD_EMPINX,10.0,10.0
949,OLD_EMPINX,8.0,7.0
719,OLD_EMPINX,8.0,9.0
1433,OLD_EMPINX,3.0,1.0
1539,OLD_EMPINX,8.0,9.0
808,OLD_EMPINX,4.0,4.0
1413,OLD_EMPINX,8.0,9.0
109,OLD_EMPINX,10.0,10.0
158,OLD_EMPINX,9.0,9.0
1472,OLD_EMPINX,8.0,8.0
1089,OLD_EMPINX,3.0,3.0
428,OLD_EMPINX,9.0,9.0
550,OLD_EMPINX,0.0,0.0
443,OLD_EMPINX,9.0,7.0
323,OLD_EMPINX,8.0,8.0
1529,OLD_EMPINX,8.0,7.0
1367,OLD_EMPINX,0.0,0.0
1279,OLD_EMPINX,10.0,10.0
1443,OLD_EMPINX,7.0,9.0
1202,OLD_EMPINX,0.0,0.0
164,OLD_EMPINX,3.0,3.0
1302,OLD_EMPINX,1.0,2.0
1191,OLD_EMPINX,8.0,8.0
1062,OLD_EMPINX,9.0,10.0
1384,OLD_EMPINX,5.0,7.0
283,OLD_EMPINX,10.0,10.0
143,OLD_EMPINX,8.0,9.0
805,OLD_EMPINX,8.0,8.0
893,OLD_EMPINX,10.0,10.0
1103,OLD_EMPINX,2.0,2.0
218,OLD_EMPINX,3.0,3.0
1189,OLD_EMPINX,5.0,5.0
505,OLD_EMPINX,5.0,4.0
377,OLD_EMPINX,7.0,8.0
1234,OLD_EMPINX,9.0,9.0
1186,OLD_EMPINX,9.0,9.0
534,OLD_EMPINX,8.0,9.0
1498,OLD_EMPINX,7.0,5.0
34,OLD_EMPINX,7.0,9.0
282,OLD_EMPINX,10.0,10.0
1283,OLD_EMPINX,3.0,3.0
331,OLD_EMPINX,9.0,9.0
758,OLD_EMPINX,4.0,1.0
1253,OLD_EMPINX,7.0,7.0
39,OLD_EMPINX,2.0,2.0
710,OLD_EMPINX,9.0,6.0
270,OLD_EMPINX,6.0,7.0
962,OLD_EMPINX,3.0,5.0
1161,OLD_EMPINX,5.0,4.0
819,OLD_EMPINX,9.0,8.0
1261,OLD_EMPINX,6.0,8.0
1178,OLD_EMPINX,9.0,9.0
1154,OLD_EMPINX,7.0,7.0
919,OLD_EMPINX,4.0,4.0
1509,OLD_EMPINX,0.0,0.0
424,OLD_EMPINX,4.0,4.0
834,OLD_EMPINX,9.0,8.0
1125,OLD_EMPINX,8.0,8.0
59,OLD_EMPINX,10.0,10.0
195,OLD_EMPINX,5.0,4.0
803,OLD_EMPINX,5.0,5.0
1201,OLD_EMPINX,1.0,5.0
368,OLD_EMPINX,1.0,1.0
817,OLD_EMPINX,0.0,0.0
547,OLD_EMPINX,5.0,5.0
1080,OLD_EMPINX,9.0,9.0
1105,OLD_EMPINX,1.0,1.0
1417,OLD_EMPINX,10.0,10.0
1303,OLD_EMPINX,6.0,6.0
951,OLD_EMPINX,9.0,9.0
830,OLD_EMPINX,10.0,10.0
1242,OLD_EMPINX,9.0,9.0
1235,OLD_EMPINX,4.0,1.0
1394,OLD_EMPINX,3.0,3.0
503,OLD_EMPINX,9.0,9.0
594,OLD_EMPINX,3.0,5.0
557,OLD_EMPINX,2.0,3.0
752,OLD_EMPINX,1.0,1.0
309,OLD_EMPINX,10.0,10.0
775,OLD_EMPINX,5.0,4.0
494,OLD_EMPINX,7.0,7.0
873,OLD_EMPINX,10.0,10.0
1033,OLD_EMPINX,9.0,10.0
1471,OLD_EMPINX,8.0,8.0
512,OLD_EMPINX,10.0,8.0
906,OLD_EMPINX,0.0,0.0
67,OLD_EMPINX,9.0,8.0
508,OLD_EMPINX,10.0,10.0
918,OLD_EMPINX,3.0,3.0
137,OLD_EMPINX,0.0,0.0
1176,OLD_EMPINX,4.0,6.0
1526,OLD_EMPINX,10.0,10.0
685,OLD_EMPINX,10.0,10.0
511,OLD_EMPINX,9.0,9.0
695,OLD_EMPINX,9.0,9.0
376,OLD_EMPINX,2.0,2.0
1248,OLD_EMPINX,9.0,9.0
938,OLD_EMPINX,9.0,10.0
1050,OLD_EMPINX,10.0,10.0
364,OLD_EMPINX,0.0,0.0
1486,OLD_EMPINX,5.0,5.0
750,OLD_EMPINX,0.0,0.0
162,OLD_EMPINX,9.0,7.0
1390,OLD_EMPINX,6.0,5.0
659,OLD_EMPINX,9.0,8.0
214,OLD_EMPINX,4.0,3.0
496,OLD_EMPINX,6.0,6.0
790,OLD_EMPINX,7.0,6.0
1506,OLD_EMPINX,3.0,4.0
269,OLD_EMPINX,2.0,4.0
1535,OLD_EMPINX,7.0,8.0
178,OLD_EMPINX,0.0,0.0
1124,OLD_EMPINX,6.0,7.0
1061,OLD_EMPINX,9.0,7.0
435,OLD_EMPINX,6.0,6.0
1277,OLD_EMPINX,0.0,3.0
249,OLD_EMPINX,8.0,8.0
794,OLD_EMPINX,9.0,9.0
1058,OLD_EMPINX,9.0,9.0
447,OLD_EMPINX,9.0,8.0
14,OLD_EMPINX,4.0,3.0
186,OLD_EMPINX,7.0,8.0
518,OLD_EMPINX,9.0,9.0
359,OLD_EMPINX,0.0,0.0
379,OLD_EMPINX,6.0,6.0
621,OLD_EMPINX,2.0,2.0
370,OLD_EMPINX,2.0,3.0
604,OLD_EMPINX,8.0,8.0
1048,OLD_EMPINX,10.0,10.0
929,OLD_EMPINX,9.0,9.0
909,OLD_EMPINX,0.0,0.0
573,OLD_EMPINX,7.0,8.0
412,OLD_EMPINX,9.0,10.0
754,OLD_EMPINX,3.0,3.0
1024,OLD_EMPINX,8.0,8.0
1036,OLD_EMPINX,9.0,8.0
1081,OLD_EMPINX,9.0,9.0
171,OLD_EMPINX,2.0,2.0
1177,OLD_EMPINX,7.0,7.0
456,OLD_EMPINX,10.0,10.0
1380,OLD_EMPINX,4.0,2.0
673,OLD_EMPINX,9.0,9.0
629,OLD_EMPINX,10.0,10.0
688,OLD_EMPINX,5.0,5.0
200,OLD_EMPINX,5.0,4.0
1354,OLD_EMPINX,7.0,5.0
568,OLD_EMPINX,2.0,2.0
473,OLD_EMPINX,10.0,10.0
743,OLD_EMPINX,0.0,0.0
1357,OLD_EMPINX,2.0,1.0
1102,OLD_EMPINX,0.0,0.0
544,OLD_EMPINX,10.0,10.0
597,OLD_EMPINX,3.0,3.0
654,OLD_EMPINX,4.0,1.0
1044,OLD_EMPINX,8.0,8.0
1117,OLD_EMPINX,9.0,8.0
453,OLD_EMPINX,6.0,5.0
121,OLD_EMPINX,5.0,4.0
581,OLD_EMPINX,5.0,3.0
1122,OLD_EMPINX,9.0,9.0
655,OLD_EMPINX,0.0,1.0
616,OLD_EMPINX,4.0,4.0
197,OLD_EMPINX,5.0,4.0
711,OLD_EMPINX,7.0,8.0
1467,OLD_EMPINX,1.0,1.0
744,OLD_EMPINX,9.0,8.0
943,OLD_EMPINX,8.0,8.0
841,OLD_EMPINX,0.0,0.0
1083,OLD_EMPINX,1.0,3.0
1347,OLD_EMPINX,7.0,8.0
657,OLD_EMPINX,6.0,6.0
464,OLD_EMPINX,9.0,9.0
980,OLD_EMPINX,7.0,3.0
389,OLD_EMPINX,4.0,5.0
563,OLD_EMPINX,1.0,0.0
1079,OLD_EMPINX,9.0,9.0
1290,OLD_EMPINX,2.0,0.0
1027,OLD_EMPINX,8.0,9.0
1082,OLD_EMPINX,5.0,3.0
801,OLD_EMPINX,5.0,8.0
434,OLD_EMPINX,7.0,8.0
160,OLD_EMPINX,10.0,10.0
222,OLD_EMPINX,9.0,9.0
365,OLD_EMPINX,1.0,2.0
1491,OLD_EMPINX,0.0,0.0
1295,OLD_EMPINX,0.0,0.0
374,OLD_EMPINX,0.0,1.0
522,OLD_EMPINX,9.0,9.0
623,OLD_EMPINX,7.0,7.0
1436,OLD_EMPINX,4.0,1.0
1359,OLD_EMPINX,2.0,5.0
1158,OLD_EMPINX,2.0,5.0
111,OLD_EMPINX,10.0,10.0
924,OLD_EMPINX,10.0,8.0
583,OLD_EMPINX,8.0,4.0
674,OLD_EMPINX,4.0,3.0
1438,OLD_EMPINX,7.0,7.0
